version_name,version,url,scraped_date
25H2,General Availability Channel,,2025-10-28 14:35:15
24H2,General Availability Channel,,2025-10-28 14:35:15
23H2,General Availability Channel,,2025-10-28 14:35:15
22H2,General Availability Channel,,2025-10-28 14:35:15
24H21,Long-Term Servicing Channel (LTSC),,2025-10-28 14:35:15
General Availability Channel,2025-10 OOB,,2025-10-28 14:35:15
General Availability Channel,2025-10 B,,2025-10-28 14:35:15
October,2025.10 B,,2025-10-28 14:35:20
November,2025.11 B,,2025-10-28 14:35:21
December,2025.12 B,,2025-10-28 14:35:21
